"LATITUDE","LONGITUDE"
26.6855663,88.3322155
26.7717114,88.7924883
27.0000305,88.5332904
23.8641886,86.9056398
22.626325,88.394232
22.1015283,88.802911
27.0831359,88.3362606
27.0139635,88.1966465
23.6020702,87.1142286
22.438186,88.403558
27.1580708,88.6018389
22.5903929,88.2586867
22.5321268,88.3455446
22.5282158,88.3327335
26.9930376,88.1552495
26.7518197,88.2527258
26.8942457,88.2813508
25.228302,88.774783
26.5333333,88.7230556
22.65,88.35
22.573438,88.353424
25.053388,88.143456
22,88
22.54,88.44
22.598675,88.4682306
22.6,88.46
22.5062444,88.3649556
22.5,88.5
22.4955,88.35233
22.4946398,88.3969225
23.6269109,87.5486755
26.72,88.41
23.064983,88.44842
22.814012,88.35031
22.577411,88.32245
26.53,88.71
22.0166667,88.0666667
22.882343,88.763309
22.678639,88.286788
22.5650204,88.3524001
23.4504595,87.4604805
26.5708085,88.7664642
26.52,88.73
27.0875188,88.6591999
21.6461401,87.6301718
22.5564312,88.2932609
26.5189097,88.7363792
22.6477469,88.4386754
26.7070165,88.3574728
22.5561199,88.2922053
26.9060448,88.6891598
26.9540821,88.7005359
27.0224508,88.6955381
27.0823598,88.6668777
27.0554186,88.4255862
26.4159457,89.7347784
22.690957,88.484869
22.1276269,88.8773346
21.5591376,88.2669344
22.4391744,88.3023549
22.4292966,88.4007089
21.5837743,88.3028521
23.6067786,86.7691612
26.478755,89.524132
26.7230401,88.4141976
27.0593348,88.0248571
26.8835669,88.7821969
26.7965013,89.0065126
27.0603577,88.4677607
22.5843835,88.3743145
26.8855905,88.1867409
22.73,88.28
25,88.1
21.9,88.8
23.4760583,87.3031139
22.65,88.33
26.68,88.46
26.5641,88.6861
26.47,88.87
26.55,88.75
22.5438415,88.3619298
21.6530924,87.6652631
23.8151268,86.845594
23.83,87.69
22.64,88.34
22.59,88.31
22.58,88.01
27.1002025,88.6801472
27.06,88.47
27,88.6
27.08,88.66
22.55,88.28
24.1,88.2
22.624,88.504
21.7,88.1
22.5,88.39
22.44583,88.30889
26.8897149,88.4737396
27.0409026,88.266735
27,88.4
26.75,88.58
27.0763437,88.4321976
23.12,88.03
22.4,88.4
27.0472989,88.2663727
27.02,88.15
27.04,88.3
26.4760003,88.8827324
23.26,88.2
22.5501184,88.4111335
22.34,88.21
26.6522174,88.406393
26.609224,88.625206
22.5590924,88.4475803
22.1237359,88.8461861
22.0520532,88.6646569
26.5978582,89.3958895
22.905758,88.373486
22.021681,88.61664
22.0216812,88.61664
22.0910508,88.7622234
26.7038318,89.6086997
26.6310407,89.5334673
27.0255369,88.2380596
22.8284001,88.1118024
22.6320745,88.356294
22.5453791,88.3431995
22.504152,88.7669134
22.6157397,88.4123037
22.1509609,88.8418221
22.1482977,88.7968683
22.1635008,88.7973082
22.1367701,88.7506056
22.0579598,88.6868334
22.1239198,88.8303155
21.9895318,88.7568122
22.0467431,88.7276888
